model_a,model_b,layer,metric,boot_mean,ci_low,ci_high,n_boot
gemma3_1b_it,qwen3_0_6b,layer_0,knn_overlap,0.5746135338064856,0.5561752915163325,0.5928685888325498,400
gemma3_1b_it,qwen3_0_6b,layer_0,procrustes_residual,0.004485960543245435,0.004378072120420692,0.00458495418874444,400
gemma3_1b_it,qwen3_0_6b,layer_0,rsa_spearman,0.9282468905277317,0.9234837629605306,0.9325737782118976,400
gemma3_1b_it,qwen3_0_6b,layer_12,cka,0.16528617057949305,0.1466082137078047,0.18299023322761057,400
gemma3_1b_it,qwen3_0_6b,layer_12,knn_overlap,0.4059056459099608,0.3918969325952685,0.4225958574467185,400
gemma3_1b_it,qwen3_0_6b,layer_12,procrustes_residual,0.0240456095930668,0.02381312035724878,0.024256400595784388,400
gemma3_1b_it,qwen3_0_6b,layer_12,rsa_spearman,0.8865514240501882,0.8773818276440601,0.8956228213508876,400
gemma3_1b_it,qwen3_0_6b,layer_16,cka,0.3573361956328154,0.3466710612177849,0.3681218087673187,400
gemma3_1b_it,qwen3_0_6b,layer_16,knn_overlap,0.3795131719945574,0.3634749702034435,0.3962588170146703,400
gemma3_1b_it,qwen3_0_6b,layer_16,procrustes_residual,0.02115060177482924,0.0209028709049403,0.021394701694430297,400
gemma3_1b_it,qwen3_0_6b,layer_16,rsa_spearman,0.9080832153994791,0.8998104966624683,0.9152738533809427,400
gemma3_1b_it,qwen3_0_6b,layer_4,cka,0.1906847059726715,0.17252108529210092,0.20962427742779255,400
gemma3_1b_it,qwen3_0_6b,layer_4,knn_overlap,0.4253977181626853,0.4095442931287552,0.44190500841536057,400
gemma3_1b_it,qwen3_0_6b,layer_4,procrustes_residual,0.030720935706205404,0.030511778681446024,0.030943512278340694,400
gemma3_1b_it,qwen3_0_6b,layer_4,rsa_spearman,0.6543937107908849,0.6399826406234856,0.6683494661783749,400
gemma3_1b_it,qwen3_0_6b,layer_8,cka,0.09207172330468893,0.08341614790260792,0.10157218296080828,400
gemma3_1b_it,qwen3_0_6b,layer_8,knn_overlap,0.4364614524833468,0.420612454096829,0.4540219211687864,400
gemma3_1b_it,qwen3_0_6b,layer_8,procrustes_residual,0.02792722557405974,0.02772894156120921,0.02813266467888932,400
gemma3_1b_it,qwen3_0_6b,layer_8,rsa_spearman,0.8166585472929896,0.8051321598969395,0.8262048234578545,400
gemma3_1b_it,qwen3_5_0_8b,layer_0,cka,0.9833872057497501,0.9822302430868148,0.9847377061843872,400
gemma3_1b_it,qwen3_5_0_8b,layer_0,knn_overlap,0.5865670128758268,0.5675902321112266,0.6054490891554554,400
gemma3_1b_it,qwen3_5_0_8b,layer_0,procrustes_residual,0.00443563597376615,0.004346840811410604,0.004520068665240062,400
gemma3_1b_it,qwen3_5_0_8b,layer_0,rsa_spearman,0.912691501291147,0.9067351545496071,0.9183788380901001,400
gemma3_1b_it,qwen3_5_0_8b,layer_12,cka,0.6489541453123092,0.6256726130843162,0.6723445311188697,400
gemma3_1b_it,qwen3_5_0_8b,layer_12,knn_overlap,0.42905734034340837,0.41285609563724884,0.4444217480665333,400
gemma3_1b_it,qwen3_5_0_8b,layer_12,procrustes_residual,0.008654201132724727,0.008535291184358263,0.008764706651150008,400
gemma3_1b_it,qwen3_5_0_8b,layer_12,rsa_spearman,0.8057915050902804,0.7900915670038549,0.8204681665809408,400
gemma3_1b_it,qwen3_5_0_8b,layer_16,cka,0.9258620326220989,0.9196860834956169,0.9317661300301552,400
gemma3_1b_it,qwen3_5_0_8b,layer_16,knn_overlap,0.3855840236902688,0.37140527249524924,0.40215390337753915,400
gemma3_1b_it,qwen3_5_0_8b,layer_16,procrustes_residual,0.008796857894903878,0.008694647524406093,0.008899465246672966,400
gemma3_1b_it,qwen3_5_0_8b,layer_16,rsa_spearman,0.8652690782194746,0.8517984171020873,0.876376083089832,400
gemma3_1b_it,qwen3_5_0_8b,layer_4,cka,0.8846917770802974,0.8771595358848572,0.8916342377662658,400
gemma3_1b_it,qwen3_5_0_8b,layer_4,knn_overlap,0.44930652627243184,0.4352544942605411,0.4650716766767947,400
gemma3_1b_it,qwen3_5_0_8b,layer_4,procrustes_residual,0.00930599043820487,0.00923162178675785,0.009375674300278393,400
gemma3_1b_it,qwen3_5_0_8b,layer_4,rsa_spearman,0.7026105747510263,0.6889574690114104,0.7169998205364753,400
gemma3_1b_it,qwen3_5_0_8b,layer_8,cka,0.6330928441882133,0.6125329703092575,0.6544862687587738,400
gemma3_1b_it,qwen3_5_0_8b,layer_8,knn_overlap,0.4736486454102456,0.4583859241248947,0.4898164806022294,400
gemma3_1b_it,qwen3_5_0_8b,layer_8,procrustes_residual,0.00878177017619339,0.00869920678464267,0.008870242943703767,400
gemma3_1b_it,qwen3_5_0_8b,layer_8,rsa_spearman,0.7655650155017082,0.7502636538821122,0.7805784102743873,400
lfm2_5_1_2b_instruct,qwen2_5_0_5b_instruct,layer_0,cka,0.9878897768259048,0.9871412977576256,0.9886818036437035,400
lfm2_5_1_2b_instruct,qwen2_5_0_5b_instruct,layer_0,knn_overlap,0.6281816505132295,0.6137673824337427,0.6433473515863221,400
lfm2_5_1_2b_instruct,qwen2_5_0_5b_instruct,layer_0,procrustes_residual,0.007019943899932368,0.006974642339163303,0.0070690239513863905,400
lfm2_5_1_2b_instruct,qwen2_5_0_5b_instruct,layer_0,rsa_spearman,0.9288981786312405,0.9246446623223422,0.9328160945569056,400
lfm2_5_1_2b_instruct,qwen2_5_0_5b_instruct,layer_12,cka,0.4941398631036282,0.46890450865030286,0.5226156353950501,400
lfm2_5_1_2b_instruct,qwen2_5_0_5b_instruct,layer_12,knn_overlap,0.4511964397117115,0.43585597487164823,0.46631363822903094,400
lfm2_5_1_2b_instruct,qwen2_5_0_5b_instruct,layer_12,procrustes_residual,0.017986490892973602,0.01773435744843551,0.018239230415000408,400
lfm2_5_1_2b_instruct,qwen2_5_0_5b_instruct,layer_12,rsa_spearman,0.8332673152354307,0.8168757897241412,0.8487099116832091,400
lfm2_5_1_2b_instruct,qwen2_5_0_5b_instruct,layer_16,cka,0.669166656434536,0.6491280630230903,0.6892700433731079,400
lfm2_5_1_2b_instruct,qwen2_5_0_5b_instruct,layer_16,knn_overlap,0.39748019853347827,0.3831267000614911,0.412384407171704,400
lfm2_5_1_2b_instruct,qwen2_5_0_5b_instruct,layer_16,procrustes_residual,0.01544951987120637,0.015222128704775517,0.01568826477856484,400
lfm2_5_1_2b_instruct,qwen2_5_0_5b_instruct,layer_16,rsa_spearman,0.8295737558258913,0.8130363286761747,0.8439270616991551,400
lfm2_5_1_2b_instruct,qwen2_5_0_5b_instruct,layer_4,cka,0.4098041596263647,0.3865434408187866,0.43693360686302185,400
lfm2_5_1_2b_instruct,qwen2_5_0_5b_instruct,layer_4,knn_overlap,0.4943969040097329,0.47859973191905275,0.5093169491148399,400
lfm2_5_1_2b_instruct,qwen2_5_0_5b_instruct,layer_4,procrustes_residual,0.022517004638877243,0.022305721770312172,0.022735252348490394,400
lfm2_5_1_2b_instruct,qwen2_5_0_5b_instruct,layer_4,rsa_spearman,0.68037450452292,0.6615807772865473,0.6974018451695296,400
lfm2_5_1_2b_instruct,qwen2_5_0_5b_instruct,layer_8,cka,0.4359447845071554,0.41640333607792857,0.45994792282581326,400
lfm2_5_1_2b_instruct,qwen2_5_0_5b_instruct,layer_8,knn_overlap,0.45818891776903575,0.44210204321320806,0.47411591680414245,400
lfm2_5_1_2b_instruct,qwen2_5_0_5b_instruct,layer_8,procrustes_residual,0.019168477388668257,0.018931963228105753,0.019429280701652504,400
lfm2_5_1_2b_instruct,qwen2_5_0_5b_instruct,layer_8,rsa_spearman,0.7682980362755165,0.7536032212494244,0.7824049212717669,400
lfm2_5_1_2b_instruct,qwen3_0_6b,layer_0,cka,0.9923462475836277,0.9918888121843338,0.9927651956677437,400
lfm2_5_1_2b_instruct,qwen3_0_6b,layer_0,knn_overlap,0.6541540735211498,0.6380977953827219,0.6686306232574615,400
lfm2_5_1_2b_instruct,qwen3_0_6b,layer_0,procrustes_residual,0.006613037796811609,0.006569780105433189,0.006650192471642762,400
lfm2_5_1_2b_instruct,qwen3_0_6b,layer_0,rsa_spearman,0.9545018548292891,0.9516615943181008,0.9569256477538368,400
lfm2_5_1_2b_instruct,qwen3_0_6b,layer_12,cka,0.353926615267992,0.3295068435370922,0.3774013243615627,400
lfm2_5_1_2b_instruct,qwen3_0_6b,layer_12,knn_overlap,0.46415404366964447,0.44827809139211033,0.47889676468111064,400
lfm2_5_1_2b_instruct,qwen3_0_6b,layer_12,procrustes_residual,0.02333734682720328,0.023109227572851266,0.023563915726598317,400
lfm2_5_1_2b_instruct,qwen3_0_6b,layer_12,rsa_spearman,0.7418026740322254,0.7175453327926338,0.7698944925447363,400
lfm2_5_1_2b_instruct,qwen3_0_6b,layer_16,cka,0.41008329145610334,0.3968179613351822,0.4256440415978432,400
lfm2_5_1_2b_instruct,qwen3_0_6b,layer_16,knn_overlap,0.35425071709909167,0.33985663139678235,0.37035130362950597,400
lfm2_5_1_2b_instruct,qwen3_0_6b,layer_16,procrustes_residual,0.021179793308491453,0.020927955783558473,0.021447683877306122,400
lfm2_5_1_2b_instruct,qwen3_0_6b,layer_16,rsa_spearman,0.7909094950163305,0.7696864528083219,0.8079714846117428,400
lfm2_5_1_2b_instruct,qwen3_0_6b,layer_4,cka,0.2702523701265454,0.24714636094868184,0.29255128726363183,400
lfm2_5_1_2b_instruct,qwen3_0_6b,layer_4,knn_overlap,0.5119095391094471,0.4961818638322605,0.5283183831472821,400
lfm2_5_1_2b_instruct,qwen3_0_6b,layer_4,procrustes_residual,0.030431408984905213,0.030201979206707853,0.030662935515223217,400
lfm2_5_1_2b_instruct,qwen3_0_6b,layer_4,rsa_spearman,0.7339996419480258,0.7218075192887398,0.7446889636970746,400
lfm2_5_1_2b_instruct,qwen3_0_6b,layer_8,cka,0.27461526554077864,0.2517084524035454,0.2973555482923984,400
lfm2_5_1_2b_instruct,qwen3_0_6b,layer_8,knn_overlap,0.4673864958325629,0.4495608466431802,0.48385596958797417,400
lfm2_5_1_2b_instruct,qwen3_0_6b,layer_8,procrustes_residual,0.02808458080794537,0.02788465713903161,0.028290518364363942,400
lfm2_5_1_2b_instruct,qwen3_0_6b,layer_8,rsa_spearman,0.7589078914490426,0.7446387643708247,0.7726379346797123,400
lfm2_5_1_2b_instruct,qwen3_5_0_8b,layer_0,cka,0.9882335978746414,0.9874524801969529,0.9889051541686058,400
