from_model,to_model,from_layer,to_layer,cka
gemma2_2b_it,gemma3_1b_it,layer_8,layer_4,0.8700714707374573
gemma2_2b_it,gemma3_1b_it,layer_8,layer_6,0.7074093818664551
gemma2_2b_it,gemma3_1b_it,layer_8,layer_8,0.641506552696228
gemma2_2b_it,gemma3_1b_it,layer_8,layer_10,0.7191073298454285
gemma2_2b_it,gemma3_1b_it,layer_8,layer_12,0.6698596477508545
gemma2_2b_it,gemma3_1b_it,layer_10,layer_0,0.9298043251037598
gemma2_2b_it,gemma3_1b_it,layer_10,layer_2,0.879706621170044
gemma2_2b_it,gemma3_1b_it,layer_10,layer_4,0.8775784969329834
gemma2_2b_it,gemma3_1b_it,layer_10,layer_6,0.7506921291351318
gemma2_2b_it,gemma3_1b_it,layer_10,layer_8,0.6711044311523438
gemma2_2b_it,gemma3_1b_it,layer_10,layer_10,0.7132943868637085
gemma2_2b_it,gemma3_1b_it,layer_10,layer_12,0.7005984783172607
gemma2_2b_it,gemma3_1b_it,layer_12,layer_0,0.9224234223365784
gemma2_2b_it,gemma3_1b_it,layer_12,layer_2,0.8631953597068787
gemma2_2b_it,gemma3_1b_it,layer_12,layer_4,0.8831232190132141
gemma2_2b_it,gemma3_1b_it,layer_12,layer_6,0.7386001348495483
gemma2_2b_it,gemma3_1b_it,layer_12,layer_8,0.6744589805603027
gemma2_2b_it,gemma3_1b_it,layer_12,layer_10,0.719028651714325
gemma2_2b_it,gemma3_1b_it,layer_12,layer_12,0.7316100001335144
gemma3_1b_it,gemma3_4b_it,layer_0,layer_0,0.9964927434921265
gemma3_1b_it,gemma3_4b_it,layer_0,layer_2,0.9505717158317566
gemma3_1b_it,gemma3_4b_it,layer_0,layer_4,0.9632343649864197
gemma3_1b_it,gemma3_4b_it,layer_0,layer_6,0.5744652152061462
gemma3_1b_it,gemma3_4b_it,layer_0,layer_8,0.5124537944793701
gemma3_1b_it,gemma3_4b_it,layer_0,layer_10,0.45644667744636536
gemma3_1b_it,gemma3_4b_it,layer_0,layer_12,0.3872200846672058
gemma3_1b_it,gemma3_4b_it,layer_2,layer_0,0.9247157573699951
gemma3_1b_it,gemma3_4b_it,layer_2,layer_2,0.9173263311386108
gemma3_1b_it,gemma3_4b_it,layer_2,layer_4,0.9161486625671387
gemma3_1b_it,gemma3_4b_it,layer_2,layer_6,0.5189807415008545
gemma3_1b_it,gemma3_4b_it,layer_2,layer_8,0.4824623465538025
gemma3_1b_it,gemma3_4b_it,layer_2,layer_10,0.4437265694141388
gemma3_1b_it,gemma3_4b_it,layer_2,layer_12,0.34626269340515137
gemma3_1b_it,gemma3_4b_it,layer_4,layer_0,0.8814983367919922
gemma3_1b_it,gemma3_4b_it,layer_4,layer_2,0.837344229221344
gemma3_1b_it,gemma3_4b_it,layer_4,layer_4,0.8697592616081238
gemma3_1b_it,gemma3_4b_it,layer_4,layer_6,0.585905134677887
gemma3_1b_it,gemma3_4b_it,layer_4,layer_8,0.5674775242805481
gemma3_1b_it,gemma3_4b_it,layer_4,layer_10,0.47702303528785706
gemma3_1b_it,gemma3_4b_it,layer_4,layer_12,0.341462105512619
gemma3_1b_it,gemma3_4b_it,layer_6,layer_0,0.7013508081436157
gemma3_1b_it,gemma3_4b_it,layer_6,layer_2,0.6716540455818176
gemma3_1b_it,gemma3_4b_it,layer_6,layer_4,0.7084923982620239
gemma3_1b_it,gemma3_4b_it,layer_6,layer_6,0.7322171926498413
gemma3_1b_it,gemma3_4b_it,layer_6,layer_8,0.5241098999977112
gemma3_1b_it,gemma3_4b_it,layer_6,layer_10,0.412516713142395
gemma3_1b_it,gemma3_4b_it,layer_6,layer_12,0.37868934869766235
gemma3_1b_it,gemma3_4b_it,layer_8,layer_0,0.5758421421051025
gemma3_1b_it,gemma3_4b_it,layer_8,layer_2,0.5521095395088196
gemma3_1b_it,gemma3_4b_it,layer_8,layer_4,0.5775415897369385
gemma3_1b_it,gemma3_4b_it,layer_8,layer_6,0.7645412683486938
gemma3_1b_it,gemma3_4b_it,layer_8,layer_8,0.7124662399291992
gemma3_1b_it,gemma3_4b_it,layer_8,layer_10,0.6415594220161438
gemma3_1b_it,gemma3_4b_it,layer_8,layer_12,0.6379353404045105
gemma3_1b_it,gemma3_4b_it,layer_10,layer_0,0.6882730722427368
gemma3_1b_it,gemma3_4b_it,layer_10,layer_2,0.6331629753112793
gemma3_1b_it,gemma3_4b_it,layer_10,layer_4,0.6506585478782654
gemma3_1b_it,gemma3_4b_it,layer_10,layer_6,0.504669189453125
gemma3_1b_it,gemma3_4b_it,layer_10,layer_8,0.4243151843547821
gemma3_1b_it,gemma3_4b_it,layer_10,layer_10,0.3757469356060028
gemma3_1b_it,gemma3_4b_it,layer_10,layer_12,0.49126458168029785
gemma3_1b_it,gemma3_4b_it,layer_12,layer_0,0.6090251803398132
gemma3_1b_it,gemma3_4b_it,layer_12,layer_2,0.5325242280960083
gemma3_1b_it,gemma3_4b_it,layer_12,layer_4,0.5727003216743469
gemma3_1b_it,gemma3_4b_it,layer_12,layer_6,0.6153465509414673
gemma3_1b_it,gemma3_4b_it,layer_12,layer_8,0.6139166951179504
gemma3_1b_it,gemma3_4b_it,layer_12,layer_10,0.5910013318061829
gemma3_1b_it,gemma3_4b_it,layer_12,layer_12,0.6124651432037354
gemma2_2b,gemma3_1b_pt,layer_0,layer_0,0.9890554547309875
gemma2_2b,gemma3_1b_pt,layer_0,layer_2,0.8852160573005676
gemma2_2b,gemma3_1b_pt,layer_0,layer_4,0.9236046075820923
