model_a,model_b,weight_cosine,weight_l2
codegemma_2b,gemma1_1_2b_it,0.997552557680621,0.6109873526761183
codegemma_2b,gemma2_2b,0.11573307679428742,10.658241943850689
codegemma_2b,gemma2_2b_it,0.06275937255088364,11.142514481789235
codegemma_2b,gemma3_1b_it,0.018000314447568642,142.08134146215534
codegemma_2b,gemma3_1b_pt,0.006418821477049379,212.27133411889423
codegemma_2b,gemma3_4b_it,0.09328466195696397,248.735775068429
codegemma_2b,gemma3_4b_pt,0.09302885711877512,249.14414923066204
codegemma_2b,lfm2_5_1_2b_base,-0.04362745384852652,12.289859372534979
codegemma_2b,lfm2_5_1_2b_instruct,-0.04312207825513779,12.266536118919309
codegemma_2b,lfm2_5_1_2b_thinking,-0.04097779198053609,12.1810396345722
gemma1_1_2b_it,gemma2_2b,0.1172730410597317,10.582312999053977
gemma1_1_2b_it,gemma2_2b_it,0.062249573904371906,11.078554011919175
gemma1_1_2b_it,gemma3_1b_it,0.014310489781192329,142.10911010008437
gemma1_1_2b_it,gemma3_1b_pt,0.0037490022087440017,212.29113091870337
gemma1_1_2b_it,gemma3_4b_it,0.1018094210059552,248.66770470422824
gemma1_1_2b_it,gemma3_4b_pt,0.10156876267479707,249.0759310019462
gemma1_1_2b_it,lfm2_5_1_2b_base,-0.04391936540731163,12.22466400865813
gemma1_1_2b_it,lfm2_5_1_2b_instruct,-0.043402752511300866,12.201185253520753
gemma1_1_2b_it,lfm2_5_1_2b_thinking,-0.04105097736602626,12.114166882034779
gemma2_2b,gemma2_2b_it,0.5855091496059109,6.7518149399675
gemma2_2b,gemma3_1b_it,0.10871414021414612,141.36676496691965
gemma2_2b,gemma3_1b_pt,0.10497225042744547,211.50996859323988
gemma2_2b,gemma3_4b_it,0.04044433526986839,249.20723039360772
gemma2_2b,gemma3_4b_pt,0.04012150426333094,249.6157992836574
gemma2_2b,lfm2_5_1_2b_base,0.04347533302755148,10.814528285797564
gemma2_2b,lfm2_5_1_2b_instruct,0.04329491956350506,10.794250340229631
gemma2_2b,lfm2_5_1_2b_thinking,0.04385479083752359,10.714790699586537
gemma2_2b_it,gemma3_1b_it,0.10227366875284909,141.39960133102306
gemma2_2b_it,gemma3_1b_pt,0.10179553381813577,211.51422215226913
gemma2_2b_it,gemma3_4b_it,0.01813422499782935,249.3727491726256
gemma2_2b_it,gemma3_4b_pt,0.018020254791955684,249.77981656424632
gemma2_2b_it,lfm2_5_1_2b_base,-0.07654427030051929,11.663027010128435
gemma2_2b_it,lfm2_5_1_2b_instruct,-0.07679693284328894,11.642444168381493
gemma2_2b_it,lfm2_5_1_2b_thinking,-0.07777764682761996,11.568938158990795
gemma3_1b_it,gemma3_1b_pt,0.9935818033229963,72.8798231272701
gemma3_1b_it,gemma3_4b_it,-0.030348981300254776,290.6945329009849
gemma3_1b_it,gemma3_4b_pt,-0.030442708939007173,291.0607009858869
gemma3_1b_it,lfm2_5_1_2b_base,-0.042844554092044775,142.57214630993522
gemma3_1b_it,lfm2_5_1_2b_instruct,-0.04308458760227915,142.5712267879287
gemma3_1b_it,lfm2_5_1_2b_thinking,-0.04575101472288665,142.58256150157118
gemma3_1b_pt,gemma3_4b_it,-0.02594090716277577,331.58780205894
gemma3_1b_pt,gemma3_4b_pt,-0.025984967049849584,331.9073417493605
gemma3_1b_pt,lfm2_5_1_2b_base,-0.04651852844539478,212.69972215636426
gemma3_1b_pt,lfm2_5_1_2b_instruct,-0.04675289371693027,212.69920442370233
gemma3_1b_pt,lfm2_5_1_2b_thinking,-0.04900604960946814,212.70878444509418
gemma3_4b_it,gemma3_4b_pt,0.9999892563954322,1.22629329692179
gemma3_4b_it,lfm2_5_1_2b_base,0.17199598056294482,248.09851521402337
gemma3_4b_it,lfm2_5_1_2b_instruct,0.1721633530323749,248.10112621487454
gemma3_4b_it,lfm2_5_1_2b_thinking,0.17304335194894876,248.10834691964462
gemma3_4b_pt,lfm2_5_1_2b_base,0.17176203980824872,248.50664462076887
gemma3_4b_pt,lfm2_5_1_2b_instruct,0.17192878554861504,248.50925561657223
gemma3_4b_pt,lfm2_5_1_2b_thinking,0.17280962177921264,248.51645050456
lfm2_5_1_2b_base,lfm2_5_1_2b_instruct,0.9999971006644679,0.03503662028262553
lfm2_5_1_2b_base,lfm2_5_1_2b_thinking,0.9997730757128978,0.22017442725078568
lfm2_5_1_2b_instruct,lfm2_5_1_2b_thinking,0.9997996196684982,0.19488273322852506
