from_model,to_model,from_generation,to_generation,temporal_rep_drift_1_minus_cka,temporal_rep_rsa,temporal_weight_cosine,temporal_weight_l2
gemma1_1_2b_it,gemma2_2b_it,1.1,2.0,0.06093478202819824,0.7989166214600113,0.0622495739043719,11.078554011919175
gemma2_2b_it,gemma3_1b_it,2.0,3.0,0.20585940565381733,0.7974551940429927,0.102273668752849,141.39960133102306
gemma3_1b_it,gemma3_4b_it,3.0,3.0,0.25478945033890865,0.8445264308523741,-0.0303489813002547,290.6945329009849
