model_a,model_b,rep_drift,pred_rep_drift,residual,contrib_gen_gap,contrib_size_gap,contrib_tune_diff,contrib_domain_var,contrib_weight_drift,contrib_family_same
codegemma_2b,gemma1_1_2b_it,0.014608442783355713,0.05043813667913326,-0.035829693895777545,0.0009189290403850867,0.0,0.03425843951204574,0.02908450649706232,-0.00011090443580187384,0.002141736061976183
codegemma_2b,gemma2_2b,0.06703771012169979,0.1201074171313439,-0.05306970700964411,0.0073514323230807034,0.0,0.03425843951204574,0.13228042437131726,-0.040070045140541806,0.002141736061976183
codegemma_2b,gemma2_2b_it,0.0670415588787624,0.1211698239918681,-0.0541282651131057,0.0073514323230807034,0.0,0.03425843951204574,0.1357433040580778,-0.04247051796677812,0.002141736061976183
codegemma_2b,gemma3_1b_it,0.2502162967409406,0.23978389800215952,0.010432398738781073,0.01654072272693158,0.024560865660139455,0.03425843951204574,0.22263545288306655,-0.04449874884546579,0.002141736061976183
codegemma_2b,gemma3_1b_pt,0.25356076444898334,0.22245071951684287,0.03111004493214048,0.01654072272693158,0.024560865660139455,0.03425843951204574,0.20582708306574937,-0.045023557513465255,0.002141736061976183
codegemma_2b,gemma3_4b_it,0.3200473189353943,0.286035641099164,0.03401167783623027,0.01654072272693158,0.024560865660139455,0.03425843951204574,0.2654757292341008,-0.04108728209949555,0.002141736061976183
codegemma_2b,gemma3_4b_pt,0.29658280525888714,0.2617241665768075,0.03485863868207961,0.01654072272693158,0.024560865660139455,0.03425843951204574,0.2411758463603115,-0.04109887374806275,0.002141736061976183
codegemma_2b,lfm2_5_1_2b_base,0.07164973872048519,0.14886298374941934,-0.07721324502893415,0.011946077525006144,0.018100512954461044,0.03425843951204574,0.14770389934272635,-0.04729137558828573,0.0
codegemma_2b,lfm2_5_1_2b_instruct,0.08904562677655903,0.14869986545014194,-0.05965423867358291,0.011946077525006144,0.018100512954461044,0.03425843951204574,0.1475178802401863,-0.04726847478502307,0.0
codegemma_2b,lfm2_5_1_2b_thinking,0.09908399411610191,0.1464902745326111,-0.04740628041650918,0.011946077525006144,0.018100512954461044,0.03425843951204574,0.1452111222280116,-0.04717130769037924,0.0
gemma1_1_2b_it,gemma2_2b,0.0644838809967041,0.10143852224079102,-0.036954641244086914,0.00827036136346579,0.0,0.03425843951204574,0.11262281784870724,-0.04000026254886975,0.002141736061976183
gemma1_1_2b_it,gemma2_2b_it,0.06093478202819824,0.06795357957155626,-0.0070187975433580185,0.00827036136346579,0.0,0.0,0.11588967134078812,-0.04249361919813963,0.002141736061976183
gemma1_1_2b_it,gemma3_1b_it,0.23513184274945942,0.19745100501992563,0.03768083772953379,0.017459651767316668,0.024560865660139455,0.0,0.21380927264712593,-0.04466595112009841,0.002141736061976183
gemma1_1_2b_it,gemma3_1b_pt,0.24016754967825749,0.21433818277564348,0.025829366902614004,0.017459651767316668,0.024560865660139455,0.03425843951204574,0.19691659860302982,-0.04514453883233021,0.002141736061976183
gemma1_1_2b_it,gemma3_4b_it,0.2940213893141065,0.25088306032510876,0.04313832898899772,0.017459651767316668,0.024560865660139455,0.0,0.26327636439671787,-0.040700987564507206,0.002141736061976183
