model_a,model_b,layer,cka,rsa_spearman,knn_overlap,procrustes_residual
codegemma_2b,gemma1_1_2b_it,layer_0,0.9886012673377991,0.9477844825454514,0.790931290931291,0.0045220048030874
codegemma_2b,gemma1_1_2b_it,layer_10,0.98776775598526,0.9508667452845827,0.6287959725459725,0.009034527953052889
codegemma_2b,gemma1_1_2b_it,layer_12,0.983476459980011,0.9431075934949484,0.6047283734783735,0.010036589391073953
codegemma_2b,gemma1_1_2b_it,layer_2,0.9838681221008301,0.8415738303061464,0.7547535797535798,0.00662532809072026
codegemma_2b,gemma1_1_2b_it,layer_4,0.9823059439659119,0.8968715200099086,0.6550417175417176,0.00783824852002292
codegemma_2b,gemma1_1_2b_it,layer_6,0.9858134984970093,0.9264701466788487,0.6466487216487218,0.008114763620058911
codegemma_2b,gemma1_1_2b_it,layer_8,0.9859078526496887,0.9294482570531604,0.6406672031672032,0.008834180222053217
codegemma_2b,gemma2_2b,layer_0,0.7368343472480774,0.7916603885790267,0.6398797190463857,0.02015083676475379
codegemma_2b,gemma2_2b,layer_10,0.9777901768684387,0.8954526895247275,0.5962303355685709,0.011757728940863566
codegemma_2b,gemma2_2b,layer_12,0.9549084305763245,0.8649441409778932,0.5698356654239007,0.013606414906230425
codegemma_2b,gemma2_2b,layer_2,0.957722008228302,0.6780799842253842,0.6841593591593592,0.010326445404021558
codegemma_2b,gemma2_2b,layer_4,0.957029402256012,0.6095305006107564,0.6902292152292152,0.010451154313367586
codegemma_2b,gemma2_2b,layer_6,0.9709168672561646,0.8246540042208781,0.6685027935027935,0.009836700310403379
codegemma_2b,gemma2_2b,layer_8,0.9755347967147827,0.8010459435321073,0.6166030184412538,0.011249878939648317
codegemma_2b,gemma2_2b_it,layer_0,0.7371682524681091,0.7917979306031948,0.6401442693109359,0.020144633990268838
codegemma_2b,gemma2_2b_it,layer_10,0.9690069556236267,0.8798338203509481,0.6157856032856033,0.011802412006743725
codegemma_2b,gemma2_2b_it,layer_12,0.9717463850975037,0.9075087469851304,0.5746767121767121,0.012706322274337883
codegemma_2b,gemma2_2b_it,layer_2,0.956808865070343,0.7130656227833919,0.6367475117475118,0.010543223654773032
codegemma_2b,gemma2_2b_it,layer_4,0.9610825181007385,0.6526862227657555,0.6896788396788397,0.009915996554287515
codegemma_2b,gemma2_2b_it,layer_6,0.9699681401252747,0.8418657533781305,0.6853190790690791,0.009671883843426031
codegemma_2b,gemma2_2b_it,layer_8,0.9649279713630676,0.7874544929395034,0.6509321696821697,0.011181448938835064
codegemma_2b,gemma3_1b_it,layer_0,0.6987239122390747,0.8207021370027546,0.5885248919562645,0.022403998915894438
codegemma_2b,gemma3_1b_it,layer_10,0.7024965286254883,0.8536446732515826,0.5908214470714471,0.025786461844813743
codegemma_2b,gemma3_1b_it,layer_12,0.6806943416595459,0.8211637404396119,0.5490603758986112,0.02833260888374981
codegemma_2b,gemma3_1b_it,layer_2,0.9232426881790161,0.8020350717515184,0.6660751285751285,0.015237307935528696
codegemma_2b,gemma3_1b_it,layer_4,0.9007208943367004,0.733587656473889,0.6170244107744107,0.015675446228161707
codegemma_2b,gemma3_1b_it,layer_6,0.7205435633659363,0.7394819616902737,0.6357933732933733,0.022655149239083055
codegemma_2b,gemma3_1b_it,layer_8,0.6220639944076538,0.7872464814860135,0.622431734931735,0.02774035622693845
codegemma_2b,gemma3_1b_pt,layer_0,0.7008688449859619,0.8168810375905083,0.5949184756782796,0.022214617168705025
codegemma_2b,gemma3_1b_pt,layer_10,0.6262702941894531,0.8040904966035343,0.5783882239764593,0.026887854064210865
codegemma_2b,gemma3_1b_pt,layer_12,0.6437864899635315,0.7937636145524528,0.5432992932992933,0.027336125073532263
codegemma_2b,gemma3_1b_pt,layer_2,0.8761088252067566,0.7902855601892516,0.6484691234691236,0.016731791759928033
codegemma_2b,gemma3_1b_pt,layer_4,0.9316341280937195,0.6856558242162243,0.5768836555601261,0.014976995600800264
codegemma_2b,gemma3_1b_pt,layer_6,0.8414798974990845,0.7194531189439893,0.5904234110116462,0.018337053775287205
codegemma_2b,gemma3_1b_pt,layer_8,0.6049261689186096,0.7120255089160005,0.5958226414108767,0.030897127067374675
