edge_type,model_from,model_to,layer,cka_before,cka_after,cka_gain,procrustes_before,procrustes_after,procrustes_gain,operator_r2_train,operator_r2,operator_fro,operator_trace_mean,operator_spectral_entropy,operator_spectral_pr
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_0,0.7753180265426636,0.9999955296516418,0.22467750310897827,0.03318265934317293,0.001064860308965113,0.03211779903420782,0.9999405289887701,0.9997322051861254,5.306207180023193,-3.518781886668876e-05,4.069451808929443,56.5262336730957
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_2,0.9572485685348511,0.996711015701294,0.03946244716644287,0.017712480111269868,0.013354710872656524,0.0043577692386133435,0.979438955851792,0.956663547532404,21.449573516845703,-0.000459793460322544,5.077558994293213,126.38169860839844
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_4,0.939370334148407,0.9979018568992615,0.05853152275085449,0.019199921377841093,0.015252304893541705,0.003947616484299388,0.9746265020774187,0.9502226073468777,28.57253074645996,5.14042767463252e-07,5.052495002746582,121.44499969482422
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_6,0.9614195227622986,0.997839093208313,0.036419570446014404,0.017126896853630218,0.015764837035895988,0.0013620598177342298,0.9749332468005802,0.9464837319782183,35.916786193847656,-3.356212982907891e-05,5.102135181427002,129.0536346435547
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_8,0.9685050845146179,0.9961419105529785,0.027636826038360596,0.016768136685220397,0.01647376708807326,0.0002943695971471365,0.9775547111201273,0.9368371282395442,45.566123962402344,0.00020846891857217997,5.220074653625488,150.54324340820312
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_10,0.9744872450828552,0.9958837032318115,0.0213964581489563,0.016425104580947137,0.017500590725019548,-0.0010754861440724107,0.9778360520128683,0.9224255163419225,53.40911102294922,-0.000640008773189038,5.287484169006348,164.9478302001953
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_12,0.9772177338600159,0.996112585067749,0.018894851207733154,0.017111923002433384,0.017629968355345155,-0.000518045352911771,0.9760565034667625,0.9163885513747476,65.24885559082031,-0.0013711557257920504,5.324464797973633,173.1172637939453
it_lineage,gemma2_2b_it,gemma3_1b_it,layer_0,0.9864223003387451,0.9998380541801453,0.013415753841400146,0.010708827924900254,0.003231551161891505,0.00747727676300875,0.9991982927750659,0.9983334512849849,4.269827842712402,-0.00014603493036702275,4.061487197875977,56.17524719238281
it_lineage,gemma2_2b_it,gemma3_1b_it,layer_2,0.9010491371154785,0.9973500370979309,0.09630089998245239,0.029121581128986974,0.007836488957329689,0.021285092171657284,0.9980019933585644,0.9877373220443165,35.46876907348633,0.0009526805952191353,4.942548751831055,97.46868896484375
it_lineage,gemma2_2b_it,gemma3_1b_it,layer_4,0.825853168964386,0.9903795719146729,0.16452640295028687,0.03248975846676214,0.010868589869482923,0.021621168597279222,0.9976417552988623,0.9787737788338058,46.284263610839844,0.0006534047424793243,5.10109806060791,110.35590362548828
it_lineage,gemma2_2b_it,gemma3_1b_it,layer_6,0.7678670883178711,0.9615293741226196,0.19366228580474854,0.03914067486811785,0.017179750547871957,0.021960924320245892,0.9973070669009223,0.9536359742589682,71.10360717773438,-0.0020506405271589756,5.20315408706665,104.29664611816406
it_lineage,gemma2_2b_it,gemma3_1b_it,layer_8,0.7121984362602234,0.9330816864967346,0.22088325023651123,0.045661769141027576,0.02216504359257917,0.023496725548448408,0.9977803036923908,0.9265822316517076,110.37638854980469,-0.00031141916406340897,5.205106735229492,84.34785461425781
