edge_type,model_from,model_to,layer,mode_rank,mode_sv_ratio
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_0,1,0.08612882345914841
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_0,2,0.07452421635389328
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_0,3,0.06914215534925461
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_0,4,0.06033875420689583
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_0,5,0.057843729853630066
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_2,1,0.05829620733857155
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_2,2,0.05121569335460663
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_2,3,0.04628505930304527
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_2,4,0.0452088937163353
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_2,5,0.04355401173233986
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_4,1,0.05783930420875549
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_4,2,0.05149046331644058
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_4,3,0.04753546416759491
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_4,4,0.044947706162929535
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_4,5,0.04343346506357193
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_6,1,0.05999154970049858
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_6,2,0.056559111922979355
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_6,3,0.046785615384578705
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_6,4,0.04566853120923042
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_6,5,0.04384241998195648
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_8,1,0.05991170182824135
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_8,2,0.054662059992551804
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_8,3,0.04419475048780441
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_8,4,0.04285592958331108
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_8,5,0.04012344777584076
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_10,1,0.06263437867164612
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_10,2,0.04939652234315872
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_10,3,0.04280031844973564
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_10,4,0.04046064615249634
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_10,5,0.03830141946673393
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_12,1,0.06303684413433075
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_12,2,0.046993184834718704
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_12,3,0.041363056749105453
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_12,4,0.03887779638171196
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_12,5,0.03819655627012253
it_lineage,gemma2_2b_it,gemma3_1b_it,layer_0,1,0.07973235845565796
it_lineage,gemma2_2b_it,gemma3_1b_it,layer_0,2,0.07636398077011108
it_lineage,gemma2_2b_it,gemma3_1b_it,layer_0,3,0.0673753097653389
it_lineage,gemma2_2b_it,gemma3_1b_it,layer_0,4,0.06255502998828888
it_lineage,gemma2_2b_it,gemma3_1b_it,layer_0,5,0.060171570628881454
it_lineage,gemma2_2b_it,gemma3_1b_it,layer_2,1,0.07532284408807755
it_lineage,gemma2_2b_it,gemma3_1b_it,layer_2,2,0.06456517428159714
it_lineage,gemma2_2b_it,gemma3_1b_it,layer_2,3,0.05545216426253319
it_lineage,gemma2_2b_it,gemma3_1b_it,layer_2,4,0.048406150192022324
it_lineage,gemma2_2b_it,gemma3_1b_it,layer_2,5,0.04802856966853142
it_lineage,gemma2_2b_it,gemma3_1b_it,layer_4,1,0.08536789566278458
it_lineage,gemma2_2b_it,gemma3_1b_it,layer_4,2,0.06720089167356491
it_lineage,gemma2_2b_it,gemma3_1b_it,layer_4,3,0.0563189759850502
it_lineage,gemma2_2b_it,gemma3_1b_it,layer_4,4,0.047906000167131424
it_lineage,gemma2_2b_it,gemma3_1b_it,layer_4,5,0.04538622498512268
it_lineage,gemma2_2b_it,gemma3_1b_it,layer_6,1,0.11414459347724915
it_lineage,gemma2_2b_it,gemma3_1b_it,layer_6,2,0.06228601187467575
it_lineage,gemma2_2b_it,gemma3_1b_it,layer_6,3,0.04992849752306938
it_lineage,gemma2_2b_it,gemma3_1b_it,layer_6,4,0.043605297803878784
it_lineage,gemma2_2b_it,gemma3_1b_it,layer_6,5,0.04183828458189964
it_lineage,gemma2_2b_it,gemma3_1b_it,layer_8,1,0.12150581926107407
it_lineage,gemma2_2b_it,gemma3_1b_it,layer_8,2,0.05649225413799286
it_lineage,gemma2_2b_it,gemma3_1b_it,layer_8,3,0.04533401131629944
it_lineage,gemma2_2b_it,gemma3_1b_it,layer_8,4,0.040588635951280594
it_lineage,gemma2_2b_it,gemma3_1b_it,layer_8,5,0.03797147050499916
it_lineage,gemma2_2b_it,gemma3_1b_it,layer_10,1,0.09095974266529083
it_lineage,gemma2_2b_it,gemma3_1b_it,layer_10,2,0.052453793585300446
it_lineage,gemma2_2b_it,gemma3_1b_it,layer_10,3,0.046572767198085785
it_lineage,gemma2_2b_it,gemma3_1b_it,layer_10,4,0.040470004081726074
it_lineage,gemma2_2b_it,gemma3_1b_it,layer_10,5,0.034744542092084885
it_lineage,gemma2_2b_it,gemma3_1b_it,layer_12,1,0.12183558195829391
it_lineage,gemma2_2b_it,gemma3_1b_it,layer_12,2,0.0601620227098465
it_lineage,gemma2_2b_it,gemma3_1b_it,layer_12,3,0.04180560261011124
it_lineage,gemma2_2b_it,gemma3_1b_it,layer_12,4,0.040243424475193024
it_lineage,gemma2_2b_it,gemma3_1b_it,layer_12,5,0.03586142510175705
it_lineage,gemma3_1b_it,gemma3_4b_it,layer_0,1,0.08155590295791626
it_lineage,gemma3_1b_it,gemma3_4b_it,layer_0,2,0.07550934702157974
it_lineage,gemma3_1b_it,gemma3_4b_it,layer_0,3,0.06504090130329132
it_lineage,gemma3_1b_it,gemma3_4b_it,layer_0,4,0.06219244748353958
it_lineage,gemma3_1b_it,gemma3_4b_it,layer_0,5,0.060125213116407394
it_lineage,gemma3_1b_it,gemma3_4b_it,layer_2,1,0.0828029066324234
it_lineage,gemma3_1b_it,gemma3_4b_it,layer_2,2,0.06618595123291016
it_lineage,gemma3_1b_it,gemma3_4b_it,layer_2,3,0.06100377067923546
it_lineage,gemma3_1b_it,gemma3_4b_it,layer_2,4,0.05400969833135605
