edge_type,model_from,model_to,generation_from,generation_to,mean_operator_r2,mean_cka_gain,mean_procrustes_gain,mean_spectral_pr,mean_spectral_entropy
it_lineage,gemma1_1_2b_it,gemma2_2b_it,1.1,2.0,0.9469647554285486,0.06100273983819144,0.005783726096431105,131.7164148603167,5.019094944000244
it_lineage,gemma2_2b_it,gemma3_1b_it,2.0,3.0,0.9444974223385546,0.1419071810586112,0.01816204279611013,93.51087406703404,5.000162397112165
it_lineage,gemma3_1b_it,gemma3_4b_it,3.0,3.0,0.9561348024609133,0.23345716084752763,0.03201034030776725,51.51880291530064,4.798508303506034
pt_lineage,gemma2_2b,gemma3_1b_pt,2.0,3.0,0.969835028686589,0.2189128909792219,0.025745953121911688,90.08407865251813,4.934865270342145
pt_lineage,gemma3_1b_pt,gemma3_4b_pt,3.0,3.0,0.968047888557844,0.18176067726952688,0.028494488865019877,52.347367422921316,4.808265549795968
tune_shift,gemma2_2b,gemma2_2b_it,2.0,2.0,0.9680435025799394,0.02007566179547991,0.0040302600149692905,198.1350337437221,5.267909458705357
tune_shift,gemma3_1b_pt,gemma3_1b_it,3.0,3.0,0.9417633064216312,0.23875250135149276,0.023788581119532953,90.45868519374302,5.025979995727539
tune_shift,gemma3_4b_pt,gemma3_4b_it,3.0,3.0,0.9744006680753708,0.24019737328801835,0.026031044588938023,101.93620790754046,5.179110390799386
cross_family,gemma3_4b_it,lfm2_5_1_2b_thinking,3.0,2.5,0.9277578847403696,0.3582372601543154,0.04110328523987757,164.54843194144112,5.221185343606131
