model_a,model_b,layer,cka,rsa_spearman,knn_overlap,procrustes_residual
codegemma_2b,gemma1_1_2b_it,layer_0,0.9895106554031372,0.9430256748418895,0.7624505124505124,0.006133610078089221
codegemma_2b,gemma1_1_2b_it,layer_12,0.9840598106384277,0.9473199394968104,0.6538665038665039,0.012965729726006849
codegemma_2b,gemma1_1_2b_it,layer_4,0.983273983001709,0.8918687944773827,0.7647741147741148,0.01023293806658894
codegemma_2b,gemma1_1_2b_it,layer_8,0.985945463180542,0.9283470671652814,0.6805652680652681,0.011493252982456676
codegemma_2b,gemma2_2b,layer_0,0.7820940613746643,0.7790114754101642,0.635514023014023,0.026301324884059136
codegemma_2b,gemma2_2b,layer_12,0.9595808386802673,0.8722306901584853,0.6012996262996263,0.01785740587139902
codegemma_2b,gemma2_2b,layer_4,0.958956778049469,0.6360448533828982,0.7464405964405965,0.013936951355217516
codegemma_2b,gemma2_2b,layer_8,0.974219024181366,0.7898471255218087,0.6587375587375587,0.014946605393906126
codegemma_2b,gemma2_2b_it,layer_0,0.782437801361084,0.7789472242345974,0.6362262737262737,0.026287503744171166
codegemma_2b,gemma2_2b_it,layer_12,0.9729325771331787,0.9095690389239895,0.6167217042217042,0.01678275893309417
codegemma_2b,gemma2_2b_it,layer_4,0.9614943265914917,0.6682206746329346,0.7445998445998447,0.013254856332673289
codegemma_2b,gemma2_2b_it,layer_8,0.9632724523544312,0.7920021077288206,0.6930384430384431,0.015020683549411436
codegemma_2b,gemma3_1b_it,layer_0,0.7502480745315552,0.8085342150816,0.5763083049847756,0.029157544964864893
codegemma_2b,gemma3_1b_it,layer_12,0.6982192993164062,0.8375322184808367,0.5780939104468517,0.038067457636611915
codegemma_2b,gemma3_1b_it,layer_4,0.9020238518714905,0.7332957553190196,0.6467065342065342,0.021391201670811027
codegemma_2b,gemma3_1b_it,layer_8,0.6234006881713867,0.801337900214895,0.6733303733303734,0.03861745548199639
codegemma_2b,gemma3_1b_pt,layer_0,0.7522695064544678,0.8090948305595791,0.5867714076047409,0.02888912563335687
codegemma_2b,gemma3_1b_pt,layer_12,0.6249663233757019,0.8021719555329399,0.5726847226847227,0.038951846210729245
codegemma_2b,gemma3_1b_pt,layer_4,0.9331314563751221,0.6700685628268185,0.613456450956451,0.02013261162076184
codegemma_2b,gemma3_1b_pt,layer_8,0.6003172993659973,0.7247589716972487,0.6246286121286122,0.04259291911231897
codegemma_2b,gemma3_4b_it,layer_0,0.7561808824539185,0.819469214377874,0.5881701631701632,0.02892050419685052
codegemma_2b,gemma3_4b_it,layer_12,0.46426910161972046,0.8846169240409163,0.6147699522699522,0.06319263728048077
codegemma_2b,gemma3_4b_it,layer_4,0.9608224630355835,0.7157544808082176,0.6568015318015318,0.018621644713050813
codegemma_2b,gemma3_4b_it,layer_8,0.5698089599609375,0.8471443516325723,0.6651977651977653,0.04651144106795682
codegemma_2b,gemma3_4b_pt,layer_0,0.7567692399024963,0.8167539531786754,0.5868682243682243,0.028849557011559303
codegemma_2b,gemma3_4b_pt,layer_12,0.47598180174827576,0.8782347357818687,0.6140859140859141,0.060495822345850006
codegemma_2b,gemma3_4b_pt,layer_4,0.9283161163330078,0.7144296524158641,0.637674716351187,0.02052547674461057
codegemma_2b,gemma3_4b_pt,layer_8,0.5885220766067505,0.853977028686152,0.635421522921523,0.04677899185788719
codegemma_2b,lfm2_5_1_2b_base,layer_0,0.7762718796730042,0.7981186093873167,0.5877057038821745,0.02888115548711482
codegemma_2b,lfm2_5_1_2b_base,layer_12,0.9456624388694763,0.868135956952052,0.6261312761312762,0.017300169809311726
codegemma_2b,lfm2_5_1_2b_base,layer_4,0.9668987989425659,0.6444341477583833,0.7134513634513635,0.014781039377998045
codegemma_2b,lfm2_5_1_2b_base,layer_8,0.9631866216659546,0.8860184486925429,0.6394947644947645,0.016610842123399572
codegemma_2b,lfm2_5_1_2b_instruct,layer_0,0.7767482399940491,0.7986286877667805,0.5882218543983251,0.028878863070469947
codegemma_2b,lfm2_5_1_2b_instruct,layer_12,0.9029452204704285,0.8571856405133293,0.6336038961038961,0.019951019791012266
codegemma_2b,lfm2_5_1_2b_instruct,layer_4,0.9746740460395813,0.7732243462905489,0.7202778702778703,0.014258503884338903
codegemma_2b,lfm2_5_1_2b_instruct,layer_8,0.9329425096511841,0.8509589167841402,0.626230142406613,0.01860499581503404
codegemma_2b,lfm2_5_1_2b_thinking,layer_0,0.7787047624588013,0.7846301178829316,0.5842660879425585,0.028766792329610418
codegemma_2b,lfm2_5_1_2b_thinking,layer_12,0.8772286772727966,0.6703263072616983,0.6155372405372406,0.021848190042031354
codegemma_2b,lfm2_5_1_2b_thinking,layer_4,0.9713691473007202,0.686694966173574,0.7274521774521776,0.01478977366312172
codegemma_2b,lfm2_5_1_2b_thinking,layer_8,0.9183172583580017,0.8648403819432693,0.6251474288238994,0.021166171655508687
gemma1_1_2b_it,gemma2_2b,layer_0,0.835883617401123,0.8126927963258438,0.744059644059644,0.023085177619336966
gemma1_1_2b_it,gemma2_2b,layer_12,0.9672136902809143,0.8857749476040575,0.6463349286878698,0.016507823318419743
gemma1_1_2b_it,gemma2_2b,layer_4,0.9390969276428223,0.5199079837213063,0.7352462352462353,0.015981910286477146
gemma1_1_2b_it,gemma2_2b,layer_8,0.9705429077148438,0.7975907901367629,0.6542545417545418,0.014800313892753419
gemma1_1_2b_it,gemma2_2b_it,layer_0,0.8361963629722595,0.8127228015198716,0.744059644059644,0.023072698165159753
gemma1_1_2b_it,gemma2_2b_it,layer_12,0.9748279452323914,0.9255213294739123,0.6372400747400748,0.015318373398486771
gemma1_1_2b_it,gemma2_2b_it,layer_4,0.9444620013237,0.6020681934461592,0.7257335257335257,0.015069685065862534
gemma1_1_2b_it,gemma2_2b_it,layer_8,0.9674211144447327,0.8359240488571291,0.6918877418877419,0.014018209972742736
gemma1_1_2b_it,gemma3_1b_it,layer_0,0.8084218502044678,0.8543805837986175,0.6778092278092278,0.026254601345582183
gemma1_1_2b_it,gemma3_1b_it,layer_12,0.6895184516906738,0.8716165995658446,0.602012802012802,0.03780957409206768
gemma1_1_2b_it,gemma3_1b_it,layer_4,0.9054380655288696,0.701550410475825,0.6303252303252305,0.02209860101914018
gemma1_1_2b_it,gemma3_1b_it,layer_8,0.6400830149650574,0.8432085125056205,0.6368224368224368,0.037690048554444404
gemma1_1_2b_it,gemma3_1b_pt,layer_0,0.8109370470046997,0.8589891378680198,0.6912587412587413,0.02590999248064157
gemma1_1_2b_it,gemma3_1b_pt,layer_12,0.6428495049476624,0.8330314934777366,0.5772022095551508,0.03913317814440571
gemma1_1_2b_it,gemma3_1b_pt,layer_4,0.9102048277854919,0.6606161632254698,0.5939093314093313,0.023179106725759808
gemma1_1_2b_it,gemma3_1b_pt,layer_8,0.6172259449958801,0.7593399324902227,0.6007665627763666,0.042367866883677045
gemma1_1_2b_it,gemma3_4b_it,layer_0,0.8144629597663879,0.8732495616334698,0.6947052947052947,0.025637994580126874
gemma1_1_2b_it,gemma3_4b_it,layer_12,0.4669091999530792,0.9162593810235198,0.6096269471269472,0.06364410563681495
gemma1_1_2b_it,gemma3_4b_it,layer_4,0.9568651914596558,0.7636592722751269,0.6415657327422034,0.019248409638697006
gemma1_1_2b_it,gemma3_4b_it,layer_8,0.5835937857627869,0.8655729993758329,0.6317414067414068,0.046139229907251514
gemma1_1_2b_it,gemma3_4b_pt,layer_0,0.8152876496315002,0.8739243851061831,0.7027121027121028,0.02552326712385333
gemma1_1_2b_it,gemma3_4b_pt,layer_12,0.49696844816207886,0.8999029379071996,0.6033682820447527,0.06041532120320454
gemma1_1_2b_it,gemma3_4b_pt,layer_4,0.9279564619064331,0.744118549238978,0.6276569563334269,0.021273308813647033
gemma1_1_2b_it,gemma3_4b_pt,layer_8,0.6123741269111633,0.8550624616711912,0.6034798534798536,0.04601603472592928
gemma1_1_2b_it,lfm2_5_1_2b_base,layer_0,0.8282150626182556,0.8223075906683712,0.6899373774373775,0.025913313374909094
gemma1_1_2b_it,lfm2_5_1_2b_base,layer_12,0.9622224569320679,0.8972545160278487,0.6308654308654309,0.015803044033494293
gemma1_1_2b_it,lfm2_5_1_2b_base,layer_4,0.9518840909004211,0.6461436253474737,0.6755300255300256,0.01707047499269715
gemma1_1_2b_it,lfm2_5_1_2b_base,layer_8,0.9509158730506897,0.8769539156350146,0.6390137640137641,0.017021495689585633
gemma1_1_2b_it,lfm2_5_1_2b_instruct,layer_0,0.8288843035697937,0.8227200776347471,0.6902074777074778,0.025898468200066388
gemma1_1_2b_it,lfm2_5_1_2b_instruct,layer_12,0.9031339287757874,0.8531661888500427,0.627466514966515,0.01988289814251589
gemma1_1_2b_it,lfm2_5_1_2b_instruct,layer_4,0.9574055075645447,0.7008537179522611,0.6827431827431828,0.016818514635152472
gemma1_1_2b_it,lfm2_5_1_2b_instruct,layer_8,0.9237557053565979,0.852171525398096,0.6148189773189774,0.01903855355566319
gemma1_1_2b_it,lfm2_5_1_2b_thinking,layer_0,0.8306980729103088,0.812868736196572,0.6837912087912088,0.02578861435049715
gemma1_1_2b_it,lfm2_5_1_2b_thinking,layer_12,0.8923172354698181,0.680672027770837,0.6021999605332939,0.02144105062616718
gemma1_1_2b_it,lfm2_5_1_2b_thinking,layer_4,0.9499624967575073,0.6340121979153477,0.6851111851111852,0.01791526606767545
gemma1_1_2b_it,lfm2_5_1_2b_thinking,layer_8,0.8897953629493713,0.781908763782145,0.6171453546453546,0.022844242852893857
gemma2_2b,gemma2_2b_it,layer_0,0.9999957084655762,0.9999608161678784,0.9949494949494951,0.00021274282799171022
gemma2_2b,gemma2_2b_it,layer_12,0.9497252702713013,0.91923908184634,0.7064491064491065,0.015235274405777176
gemma2_2b,gemma2_2b_it,layer_4,0.9815710186958313,0.8940598397822048,0.8378010878010878,0.008296741754591577
gemma2_2b,gemma2_2b_it,layer_8,0.9789867997169495,0.9349104036424584,0.7591760091760092,0.010780406923261992
gemma2_2b,gemma3_1b_it,layer_0,0.9885445237159729,0.8524113507698429,0.8064861064861064,0.008440775825109255
gemma2_2b,gemma3_1b_it,layer_12,0.6691645979881287,0.7713506639187657,0.5764297884395924,0.03927228251953663
gemma2_2b,gemma3_1b_it,layer_4,0.8398767113685608,0.6647333791612711,0.6176147926147927,0.026903253074718605
gemma2_2b,gemma3_1b_it,layer_8,0.6093229651451111,0.7552134315251793,0.5976060976060976,0.039795242287981786
gemma2_2b,gemma3_1b_pt,layer_0,0.9898282289505005,0.8685278705785356,0.8188422688422689,0.007976017227703112
gemma2_2b,gemma3_1b_pt,layer_12,0.6731424331665039,0.7506210059738777,0.5893666518666519,0.037403087748387215
gemma2_2b,gemma3_1b_pt,layer_4,0.9066010117530823,0.5340077386132641,0.583479945979946,0.024627785207948713
gemma2_2b,gemma3_1b_pt,layer_8,0.5834140181541443,0.7677754622821372,0.5949481074481076,0.04568697519869613
gemma2_2b,gemma3_4b_it,layer_0,0.9913456439971924,0.908470081692133,0.8366355866355867,0.00725219555742092
gemma2_2b,gemma3_4b_it,layer_12,0.46056029200553894,0.8611768963295418,0.6257922632922633,0.06273714830968223
gemma2_2b,gemma3_4b_it,layer_4,0.9278390407562256,0.5364696040027648,0.6224701224701226,0.021119645815754012
gemma2_2b,gemma3_4b_it,layer_8,0.5649093389511108,0.8091951473184492,0.6182807932807932,0.04563344105030331
gemma2_2b,gemma3_4b_pt,layer_0,0.9916160106658936,0.9119796293794881,0.8426443926443928,0.007179898911750092
gemma2_2b,gemma3_4b_pt,layer_12,0.53033447265625,0.8608200173148325,0.6413697413697415,0.05799016652632682
gemma2_2b,gemma3_4b_pt,layer_4,0.884255051612854,0.5350044208967345,0.6109218395983101,0.0234084550142769
gemma2_2b,gemma3_4b_pt,layer_8,0.5803280472755432,0.7855131277953776,0.6013912013912015,0.04612044186463299
gemma2_2b,lfm2_5_1_2b_base,layer_0,0.9859257340431213,0.8957204375999877,0.748135198135198,0.013580789332360264
gemma2_2b,lfm2_5_1_2b_base,layer_12,0.94979327917099,0.867841493929459,0.603420190920191,0.01815482582839843
gemma2_2b,lfm2_5_1_2b_base,layer_4,0.9592928886413574,0.6277848460251964,0.7018241018241019,0.015686771639452816
gemma2_2b,lfm2_5_1_2b_base,layer_8,0.9439669251441956,0.721738038247105,0.6288086913086913,0.018020802754696908
gemma2_2b,lfm2_5_1_2b_instruct,layer_0,0.986173152923584,0.8951157740368711,0.7472545972545974,0.013591565023391532
gemma2_2b,lfm2_5_1_2b_instruct,layer_12,0.8824915885925293,0.8091552050063259,0.5932863432863433,0.022090317664810025
gemma2_2b,lfm2_5_1_2b_instruct,layer_4,0.9617847204208374,0.6423736821629739,0.7067710067710068,0.015489824838717125
gemma2_2b,lfm2_5_1_2b_instruct,layer_8,0.9319148063659668,0.7622165119194466,0.6037240537240537,0.019040603846906614
gemma2_2b,lfm2_5_1_2b_thinking,layer_0,0.9851696491241455,0.9066439210539524,0.7344488844488845,0.01368356267993771
gemma2_2b,lfm2_5_1_2b_thinking,layer_12,0.8568939566612244,0.5935915844415278,0.5671687245216658,0.024345364808502103
gemma2_2b,lfm2_5_1_2b_thinking,layer_4,0.9379400014877319,0.5047356974923873,0.7001850001850003,0.017811337626439737
gemma2_2b,lfm2_5_1_2b_thinking,layer_8,0.8771953582763672,0.6460623542688189,0.5928932178932179,0.024089935837981684
gemma2_2b_it,gemma3_1b_it,layer_0,0.9885148406028748,0.851264547401645,0.8066156066156067,0.008426909703208628
gemma2_2b_it,gemma3_1b_it,layer_12,0.739917516708374,0.850866309381198,0.5983358145122851,0.03361459601866099
gemma2_2b_it,gemma3_1b_it,layer_4,0.846359372138977,0.7218652477975457,0.6053451178451179,0.025772851764729706
gemma2_2b_it,gemma3_1b_it,layer_8,0.6323191523551941,0.8156769922055379,0.6378371628371629,0.03716213076860452
gemma2_2b_it,gemma3_1b_pt,layer_0,0.9897447228431702,0.8672224552773464,0.8217042217042216,0.00800139707884262
gemma2_2b_it,gemma3_1b_pt,layer_12,0.6219539642333984,0.768275180099904,0.6071997446997446,0.0401279981149214
gemma2_2b_it,gemma3_1b_pt,layer_4,0.9100407361984253,0.6073267498234253,0.59256808006808,0.02413237886592117
gemma2_2b_it,gemma3_1b_pt,layer_8,0.5353710055351257,0.806058317067281,0.6114343989343989,0.04807298997123022
gemma2_2b_it,gemma3_4b_it,layer_0,0.9913104176521301,0.9077880801275436,0.8367650867650869,0.0072423872573284505
gemma2_2b_it,gemma3_4b_it,layer_12,0.5565513968467712,0.9210340600766975,0.6617433492433493,0.059179335447514074
