model_a,model_b,weight_cosine,weight_l2
codegemma_2b,gemma1_1_2b_it,0.997759346077216,0.6268777249399652
codegemma_2b,gemma2_2b,-0.03238820316370759,12.383243408259556
codegemma_2b,gemma2_2b_it,-0.09463318845278924,12.465396726551992
codegemma_2b,gemma3_1b_it,-0.12281899689229629,165.49360680161155
codegemma_2b,gemma3_1b_pt,-0.1101924614113332,247.1322123441242
codegemma_2b,gemma3_4b_it,0.03828563241521212,232.5320879687558
codegemma_2b,gemma3_4b_pt,0.03851474024616645,233.05115331579987
codegemma_2b,lfm2_5_1_2b_base,0.08783990484212101,12.333784825008602
codegemma_2b,lfm2_5_1_2b_instruct,0.08778904114027043,12.309488599448636
codegemma_2b,lfm2_5_1_2b_thinking,0.08831048919070934,12.208207405005213
gemma1_1_2b_it,gemma2_2b,-0.024103177747390507,12.244825534888209
gemma1_1_2b_it,gemma2_2b_it,-0.09356384609673563,12.366291635997285
gemma1_1_2b_it,gemma3_1b_it,-0.11051805216368181,165.3613341473265
gemma1_1_2b_it,gemma3_1b_pt,-0.09825839792275978,247.00645362681735
gemma1_1_2b_it,gemma3_4b_it,0.04293508766591903,232.48939903814673
gemma1_1_2b_it,gemma3_4b_pt,0.04320385071149892,233.00813821674998
gemma1_1_2b_it,lfm2_5_1_2b_base,0.0859004382078999,12.266952085772298
gemma1_1_2b_it,lfm2_5_1_2b_instruct,0.08584384415332716,12.242472299015573
gemma1_1_2b_it,lfm2_5_1_2b_thinking,0.08633543028247669,12.140531771881673
gemma2_2b,gemma2_2b_it,0.7999677760829429,4.8998067831468815
gemma2_2b,gemma3_1b_it,-0.058861871569154886,164.75796767660523
gemma2_2b,gemma3_1b_pt,-0.0725832936003182,246.64275578233458
gemma2_2b,gemma3_4b_it,0.0583373819742477,232.374748718014
gemma2_2b,gemma3_4b_pt,0.05802109633229636,232.8985582685309
gemma2_2b,lfm2_5_1_2b_base,-0.07437591215728687,12.430031562769909
gemma2_2b,lfm2_5_1_2b_instruct,-0.07437495861395824,12.401374792805742
gemma2_2b,lfm2_5_1_2b_thinking,-0.07732481916657874,12.304147459399063
gemma2_2b_it,gemma3_1b_it,-0.07063343569102472,164.80253786730884
gemma2_2b_it,gemma3_1b_pt,-0.08088612286037596,246.66218424722217
gemma2_2b_it,gemma3_4b_it,-0.013847787965930593,232.9277607469474
gemma2_2b_it,gemma3_4b_pt,-0.014032755750176245,233.4504790191082
gemma2_2b_it,lfm2_5_1_2b_base,-0.11909762991024764,12.394763182323771
gemma2_2b_it,lfm2_5_1_2b_instruct,-0.118887456530258,12.363967149294943
gemma2_2b_it,lfm2_5_1_2b_thinking,-0.12190939703702518,12.262280116426412
gemma3_1b_it,gemma3_1b_pt,0.991361390574187,85.99409094375329
gemma3_1b_it,gemma3_4b_it,0.010504768006652617,283.33250019729235
gemma3_1b_it,gemma3_4b_pt,0.01093168405281167,283.7002937157911
gemma3_1b_it,lfm2_5_1_2b_base,-0.118233433856202,165.40710769305986
gemma3_1b_it,lfm2_5_1_2b_instruct,-0.11833563763568894,165.40163962042314
gemma3_1b_it,lfm2_5_1_2b_thinking,-0.11906987942733376,165.382654723342
gemma3_1b_pt,gemma3_4b_it,0.005760690901867611,337.6059509042927
gemma3_1b_pt,gemma3_4b_pt,0.0062251487745667656,337.8846632040836
gemma3_1b_pt,lfm2_5_1_2b_base,-0.10873282846065992,247.08139719066565
gemma3_1b_pt,lfm2_5_1_2b_instruct,-0.1088270380149106,247.0768649501124
gemma3_1b_pt,lfm2_5_1_2b_thinking,-0.10950919926455696,247.0614298440388
gemma3_4b_it,gemma3_4b_pt,0.9999913475513755,1.1005611807632953
gemma3_4b_it,lfm2_5_1_2b_base,0.09053900132640683,232.06064582210422
gemma3_4b_it,lfm2_5_1_2b_instruct,0.09055067217674659,232.06247613123335
gemma3_4b_it,lfm2_5_1_2b_thinking,0.09258933154373182,232.0522446316948
gemma3_4b_pt,lfm2_5_1_2b_base,0.09062314153626752,232.58109823688628
gemma3_4b_pt,lfm2_5_1_2b_instruct,0.09063490047353723,232.5829341042412
gemma3_4b_pt,lfm2_5_1_2b_thinking,0.09266990921591724,232.57276014945845
lfm2_5_1_2b_base,lfm2_5_1_2b_instruct,0.9999973931899028,0.04244495139815222
lfm2_5_1_2b_base,lfm2_5_1_2b_thinking,0.9996845734490728,0.2907101925392664
lfm2_5_1_2b_instruct,lfm2_5_1_2b_thinking,0.9997158691247213,0.25873955483735867
