generation,params_b,model_pt,model_it,rep_gap_1_minus_cka,rep_mean_cka,rep_mean_rsa,weight_cosine,weight_l2
2.0,2.0,gemma2_2b,gemma2_2b_it,0.02243030071258545,0.9775696992874146,0.9370425353597205,0.7999677760829429,4.8998067831468815
3.0,1.0,gemma3_1b_pt,gemma3_1b_it,0.29641877114772797,0.703581228852272,0.8727892487289698,0.991361390574187,85.99409094375329
3.0,4.0,gemma3_4b_pt,gemma3_4b_it,0.3112500421702862,0.6887499578297138,0.9550738611236964,0.9999913475513756,1.1005611807632951
