model_a,model_b,rep_mean_cka,rep_mean_rsa,weight_cosine,weight_l2
codegemma_2b,gemma1_1_2b_it,0.985697478055954,0.927640368995341,0.997759346077216,0.6268777249399652
codegemma_2b,gemma2_2b,0.9187126755714417,0.7692835361183391,-0.0323882031637075,12.383243408259556
codegemma_2b,gemma2_2b_it,0.9200342893600464,0.7871847613800855,-0.0946331884527892,12.465396726551992
codegemma_2b,gemma3_1b_it,0.7434729784727097,0.7951750222740879,-0.1228189968922962,165.49360680161155
codegemma_2b,gemma3_1b_pt,0.7276711463928223,0.7515235801541466,-0.1101924614113332,247.1322123441242
codegemma_2b,gemma3_4b_it,0.68777035176754,0.816746242714895,0.0382856324152121,232.5320879687558
codegemma_2b,gemma3_4b_pt,0.6873973086476326,0.81584884251564,0.0385147402461664,233.0511533157999
codegemma_2b,lfm2_5_1_2b_base,0.9130049347877502,0.7991767906975737,0.087839904842121,12.333784825008602
codegemma_2b,lfm2_5_1_2b_instruct,0.8968275040388106,0.8199993978386997,0.0877890411402704,12.309488599448636
codegemma_2b,lfm2_5_1_2b_thinking,0.88640496134758,0.7516229433153683,0.0883104891907093,12.208207405005211
gemma1_1_2b_it,gemma2_2b,0.9281842857599258,0.7539916294469926,-0.0241031777473905,12.244825534888207
gemma1_1_2b_it,gemma2_2b_it,0.9307268559932709,0.7940590933242682,-0.0935638460967356,12.366291635997284
gemma1_1_2b_it,gemma3_1b_it,0.7608653455972672,0.8176890265864769,-0.1105180521636818,165.3613341473265
gemma1_1_2b_it,gemma3_1b_pt,0.7453043311834335,0.7779941817653622,-0.0982583979227597,247.00645362681732
gemma1_1_2b_it,gemma3_4b_it,0.7054577842354774,0.8546853035769874,0.042935087665919,232.48939903814676
gemma1_1_2b_it,gemma3_4b_pt,0.7131466716527939,0.843252083480888,0.0432038507114989,233.00813821675
gemma1_1_2b_it,lfm2_5_1_2b_base,0.9233093708753586,0.810664911919677,0.0859004382078999,12.266952085772298
gemma1_1_2b_it,lfm2_5_1_2b_instruct,0.9032948613166809,0.8072278774587868,0.0858438441533271,12.242472299015573
gemma1_1_2b_it,lfm2_5_1_2b_thinking,0.8906932920217514,0.7273654314162254,0.0863354302824766,12.140531771881673
gemma2_2b,gemma2_2b_it,0.9775696992874146,0.9370425353597204,0.7999677760829429,4.8998067831468815
gemma2_2b,gemma3_1b_it,0.7767271995544434,0.7609272063437648,-0.0588618715691548,164.75796767660523
gemma2_2b,gemma3_1b_pt,0.7882464230060577,0.7302330193619537,-0.0725832936003182,246.64275578233455
gemma2_2b,gemma3_4b_it,0.7361635789275169,0.7788279323357221,0.0583373819742477,232.374748718014
gemma2_2b,gemma3_4b_pt,0.7466333955526352,0.7733292988466082,0.0580210963322963,232.8985582685309
gemma2_2b,lfm2_5_1_2b_base,0.9597447067499161,0.778271203950437,-0.0743759121572868,12.430031562769909
gemma2_2b,lfm2_5_1_2b_instruct,0.9405910670757294,0.7772152932814044,-0.0743749586139582,12.401374792805742
gemma2_2b,lfm2_5_1_2b_thinking,0.9142997413873672,0.6627583893141716,-0.0773248191665787,12.304147459399063
gemma2_2b_it,gemma3_1b_it,0.801777720451355,0.8099182741964817,-0.0706334356910247,164.80253786730884
gemma2_2b_it,gemma3_1b_pt,0.7642776072025299,0.7622206755669891,-0.0808861228603759,246.66218424722217
gemma2_2b_it,gemma3_4b_it,0.7585913985967636,0.814743663088493,-0.0138477879659305,232.9277607469474
gemma2_2b_it,gemma3_4b_pt,0.7204901427030563,0.7770558792747035,-0.0140327557501762,233.4504790191082
gemma2_2b_it,lfm2_5_1_2b_base,0.9568108320236206,0.8039402250660976,-0.1190976299102476,12.394763182323771
gemma2_2b_it,lfm2_5_1_2b_instruct,0.9518517255783081,0.8226058254034063,-0.118887456530258,12.363967149294943
gemma2_2b_it,lfm2_5_1_2b_thinking,0.9083784520626068,0.6957096456273356,-0.1219093970370251,12.262280116426412
gemma3_1b_it,gemma3_1b_pt,0.703581228852272,0.8727892487289698,0.991361390574187,85.99409094375329
gemma3_1b_it,gemma3_4b_it,0.8099526762962341,0.8709196231866556,0.0105047680066526,283.33250019729235
gemma3_1b_it,gemma3_4b_pt,0.7064248472452164,0.8381071682940525,0.0109316840528116,283.7002937157911
gemma3_1b_it,lfm2_5_1_2b_base,0.761221393942833,0.7700651408707205,-0.118233433856202,165.40710769305986
gemma3_1b_it,lfm2_5_1_2b_instruct,0.7750589698553085,0.7765127798096386,-0.1183356376356889,165.40163962042314
gemma3_1b_it,lfm2_5_1_2b_thinking,0.7295750677585602,0.7027513657804874,-0.1190698794273337,165.382654723342
gemma3_1b_pt,gemma3_4b_it,0.6675219461321831,0.8558192526879358,0.0057606909018676,337.6059509042927
gemma3_1b_pt,gemma3_4b_pt,0.8639196902513504,0.8576503237250619,0.0062251487745667,337.8846632040836
gemma3_1b_pt,lfm2_5_1_2b_base,0.7573087364435196,0.74106967326256,-0.1087328284606599,247.08139719066563
gemma3_1b_pt,lfm2_5_1_2b_instruct,0.743413895368576,0.7364213359633397,-0.1088270380149106,247.0768649501124
gemma3_1b_pt,lfm2_5_1_2b_thinking,0.7727605253458023,0.6910053375691145,-0.1095091992645569,247.0614298440388
gemma3_4b_it,gemma3_4b_pt,0.6887499578297138,0.9550738611236964,0.9999913475513756,1.1005611807632951
gemma3_4b_it,lfm2_5_1_2b_base,0.7104372382164,0.78948041382419,0.0905390013264068,232.06064582210425
gemma3_4b_it,lfm2_5_1_2b_instruct,0.7325792536139487,0.7663538547535544,0.0905506721767465,232.06247613123332
gemma3_4b_it,lfm2_5_1_2b_thinking,0.660525269806385,0.7035939645432404,0.0925893315437318,232.0522446316948
gemma3_4b_pt,lfm2_5_1_2b_base,0.7049162983894348,0.7915768487668292,0.0906231415362675,232.58109823688628
gemma3_4b_pt,lfm2_5_1_2b_instruct,0.701630674302578,0.7496766390564529,0.0906349004735372,232.5829341042412
gemma3_4b_pt,lfm2_5_1_2b_thinking,0.7450984120368958,0.7132416364520948,0.0926699092159172,232.57276014945845
lfm2_5_1_2b_base,lfm2_5_1_2b_instruct,0.9547318518161774,0.8967281188896283,0.9999973931899028,0.0424449513981522
lfm2_5_1_2b_base,lfm2_5_1_2b_thinking,0.9416726529598236,0.8137238400952362,0.9996845734490728,0.2907101925392664
lfm2_5_1_2b_instruct,lfm2_5_1_2b_thinking,0.9125626534223557,0.8142948512546968,0.9997158691247212,0.2587395548373586
