model,x,y,generation,tune_type,params_b,radius_from_centroid,angle
gemma1_1_2b_it,0.06506798238219562,-0.08698618960714487,1.1,it,2.0,0.10862982791876216,-53.20253465889133
gemma2_2b,0.04075113044902004,-0.0503209597478425,2.0,pt,2.0,0.06475224801361752,-50.99861044928075
gemma2_2b_it,0.019542247487293662,-0.06534409059768087,2.0,it,2.0,0.0682037360625689,-73.34982242620032
gemma3_1b_pt,0.15291366899950068,0.11917484050613153,3.0,pt,1.0,0.19386911248713845,37.931435303909936
gemma3_1b_it,-0.1553009102889479,-0.10584525509558552,3.0,it,1.0,0.18794039151503705,-145.7236339747201
gemma3_4b_pt,0.008684022546868852,0.19808619549469905,3.0,pt,4.0,0.1982764562250361,87.48978240076626
gemma3_4b_it,-0.20521644122072086,0.09288554965514981,3.0,it,4.0,0.22525876915680082,155.64742928281942
codegemma_2b,0.07355829964478988,-0.1016500906077266,1.2,code,2.0,0.12547336118551908,-54.108912403316
