model,generation,tune_type,params_b,mean_gemma_rep_drift,mean_gemma_drift_index,mean_lfm_rep_drift,mean_lfm_weight_drift
gemma1_1_2b_it,1.1,it,2.0,0.16853885322201007,0.5490013320803138,0.08529262883322582,1.042791031761546
gemma2_2b,2.0,pt,2.0,0.16469610406427965,0.5652162508402718,0.06543399322600592,0.9564583188571399
gemma2_2b_it,2.0,it,2.0,0.1617001355910788,0.5365716952800155,0.0643016809508914,1.0770396166571425
gemma3_1b_pt,3.0,pt,1.0,0.25938289749379057,0.7121558972409598,0.24030635328519911,1.0474258239239311
gemma3_1b_it,3.0,it,1.0,0.2576432714656907,0.6865042851710915,0.2439181435675848,1.0438933854724035
gemma3_4b_pt,3.0,pt,4.0,0.2687354744697104,0.6869097362004574,0.2939100478376661,0.8278331842879746
gemma3_4b_it,3.0,it,4.0,0.2936569592174219,0.7063828066220336,0.31443061856996446,0.8275991048185771
codegemma_2b,1.2,code,2.0,0.18129927102400334,0.5700846689524272,0.08659311987104872,1.0425757746947335
