generation,pt_model,it_model,rep_drift,rsa_drift,knn_drift,weight_drift,drift_index,rep_drift_delta_vs_prev,drift_index_delta_vs_prev
2.0,gemma2_2b,gemma2_2b_it,0.022177474839346734,0.06742534969921898,0.2078554272006653,0.41449085039408906,0.07621898966180773,,
3.0,gemma3_1b_pt,gemma3_1b_it,0.30323249953133724,0.1425688265955889,0.34906945489928687,0.006418196677003607,0.5961646211142901,0.2810550246919905,0.5199456314524824
3.0,gemma3_4b_pt,gemma3_4b_it,0.2639446258544922,0.044525883254525445,0.1936333507762079,1.0743604567764464e-05,0.3614505351574745,-0.03928787367684505,-0.23471408595681564
